功能,画面特征/时间戳,页面标题 (Page Title),菜单路径 (Menu Path),核心业务功能 (Core Function),网页内容 (Webpage Content),映射 URL (Mapped URL),置信度
菜单——报告,0:06,销售控制面板,数据报告 > 业务报告,提供账户全局销售业绩的快速概览与对比分析,包含日期选择器、关键业务指标卡片（已订购商品数量、销售额等）及多维度时间维度的折线对比图表 (Line Chart)。,https://sellercentral.amazon.com/business-reports?ref_=xx_sitemetric_dnav_xx#dashboard,High
,0:24,业务报告-销售图表和流量,数据报告 > 业务报告,以时间序列图表展示销售与流量数据的趋势变化,左侧提供侧边栏导航，右侧主视图渲染多维度的折线图 (Time Series Chart)，支持日期筛选与指标切换。,https://sellercentral.amazon.com/business-reports?ref_=xx_sitemetric_dnav_xx#reportId=102&dataSeriesTrafficTimeSeriesChartColn=[Unreadable],High
,0:37,业务报告-详情页面销售和流量,数据报告 > 业务报告,提供基于子 SKU/ASIN 维度的流量转化与销售绩效明细,包含带复杂表头的数据表格 (Data Table)，展示浏览量、购物车占比、转化率等核心数据，支持分页与数据导出。,https://sellercentral.amazon.com/business-reports?ref_=xx_sitemetric_dnav_xx#reportId=102&DetailSalesTrafficBySKUChartColn=[Unreadable],High
,0:50,业务报告-各月销售额和订单数量,数据报告 > 业务报告,基于月度聚合维度的长期销售业绩走势监控,渲染包含横轴为月份的折线图 (Monthly Trend Chart) 与底部的数据汇总表格。,https://sellercentral.amazon.com/business-reports?ref_=xx_sitemetric_dnav_xx#reportId=102&SalesOrderByMonthChartColn=[Unreadable],High
,1:08,整体业务绩效,数据报告 > Custom Analytics,综合评估全盘业务健康度与核心 KPI 达标情况,基于卡片 (Card) 布局的仪表盘，包含售出商品数、净销售额等关键指标的微型图表 (Sparklines) 与趋势摘要。,https://sellercentral.amazon.com/custom-analytics/dashboard/overall-business-performance-template,High
,1:14,创建自定义控制面板,数据报告 > Custom Analytics,支持商家根据特定业务场景组合与实例化数据仪表盘模板,渲染网格布局 (Grid Layout) 的预设仪表盘模板库，每个卡片包含缩略图与模板说明。,https://sellercentral.amazon.com/custom-analytics/templates,High
,2:01,亚马逊物流报告,数据报告 > 亚马逊物流,提供针对 FBA 仓储、库存及配送状态的专属报告聚合入口,分类展示各项 FBA 报表的超链接列表 (Link List)，按最常查看、最受欢迎及最新功能模块化布局。,https://sellercentral.amazon.com/reportcentral/WelcomePage,High
,2:26,按报告查看结果,数据报告 > 广告,追踪与分析站内广告投放活动的 ROI 与流量转化效果,广告报告列表视图 (List View)，展示报告状态、生成时间与下载入口，顶部包含条件筛选器。,https://advertising.amazon.com/reports?ref_=xx_perftime_dnav_xx&merchantId=A2THB8LS2CKBI3&locale=zh_CN&ref=RedirectedFromSellerCentralByRoutingService&entityId=[Unreadable],High
,2:42,退货报告,数据报告 > 退货报告,监控并管理买家退货请求与售后订单数据流,渲染生成器表单 (Form) 与已生成报告的列表表格，提供 XML/TSV 等多格式文件下载链接。,https://sellercentral.amazon.com/returns/report/ref=xx_ccrev_dnav_xx,High
,2:53,亚马逊生成的报告,数据报告 > 自定义报告,集中管理由系统或用户配置生成的非标准化数据报告,采用标签页 (Tabs) 切换视图，当前展示“亚马逊生成的报告”列表，包含报告名称、起止日期等列。,https://sellercentral.amazon.com/customizedReports/sp?ref_=xx_CBRTab_dnav_xx,High
,3:20,库存报告,数据报告 > 库存报告,执行商品库存盘点与可用状态的批量数据导出,下拉式表单控件 (Dropdown) 选择报告类型，下方数据表渲染已请求的报告批次记录及下载按钮。,https://sellercentral.amazon.com/listing/reports/ref=xx_invreport_dnav_xx,High
,3:37,税务文档库,数据报告 > Tax Document Library,为财务合规提供税务发票与相关文档的统一调阅存档中心,多 Tabs 导航结构，当前展示税务发票列表，包含日期范围筛选与下载请求功能。,https://sellercentral.amazon.com/tax/tax-library.html/ref=xx_taxlib_dnav_xx,High
,3:47,Tax-Exemption Certificates,数据报告 > Tax Document Library,管理针对特定 B2B 买家订单的免税资质证明,包含订单 ID 搜索框与状态提示横幅 (Banner)，当前渲染空状态 (Empty State) 提示无报告请求。,https://sellercentral.amazon.com/tax/exemptions,High
,4:00,全球交易报告,数据报告 > 管理税费,提供跨站点多主体财税合规层面的交易流水账单,包含简易的报告列表框架，当前展示空数据状态。,https://sellercentral.amazon.com/managetaxes/global-transaction-reports,High
,4:15,利润分析,数据报告 > 销售成本和费用,全链路解构销售收入结构，定位各项成本损耗以优化商品利润模型,包含全局时间筛选，上方渲染包含核心财务指标的动态数据条，下方数据表支持按 SKU/ASIN 粒度下钻 (Drill-down) 拆解各项费用。,https://sellercentral.amazon.com/economics?ref_=xx_specon_dnav_xx,High
,4:48,场景建模,数据报告 > 销售成本和费用,通过调整变量参数(物流、广告等)预估商业策略变动对利润率的潜在影响,提供四步向导式的可视化流程 UI (Wizard Layout)，包含图形化节点与业务场景说明。,https://sellercentral.amazon.com/scenario-modeling,High
,4:56,收入计算器,数据报告 > 销售成本和费用,实时演算单个商品采用亚马逊物流 (FBA) 或自发货 (FBM) 的预估收益,包含商品搜索输入框 (Search Bar) 与多重提示警告横幅 (Alert Banners)。,https://sellercentral.amazon.com/revcal,High
菜单——付款,00:05-00:13,付款控制面板,侧边栏 > 数据报告 > 付款 > 结算一览,账户资金概览与结算状态追踪,包含顶部 Tabs 组件。当前激活“结算一览”。渲染“总余额”、“可用资金”、“最近的支出”数据卡片 (Data Cards)。包含账户类型与结算周期筛选器，以及展示各项收支明细的资金流向图表 (Sankey/Waterfall Chart)。,https://sellercentral.amazon.com/payments/dashboard/index.html?ref=xx_payments_dnav_xx,High
,00:14-00:18,交易视图,侧边栏 > 数据报告 > 付款 > 交易一览,历史交易明细查询与过滤,包含交易类型单选框与时间范围筛选表单。渲染包含日期、交易类型、订单编号、商品详情、总额及促销返点等列的交易记录 Data Table。,https://sellercentral.amazon.com/payments/event/view?resultsPerPage=10&pageNumber=1,High
,00:19-00:24,所有结算,侧边栏 > 数据报告 > 付款 > 所有结算,历史结算周期账单下载与核对,包含账户类型与时间维度筛选器。渲染历史结算周期 Data Table，列出期初余额、销售额、退款、费用等汇总金额，并提供结算报告下载按钮 (Actions)。,https://sellercentral.amazon.com/payments/past-settlements?ref_=xx_settle_ttab_trans,High
,00:25-00:30,转账金额,侧边栏 > 数据报告 > 付款 > 付款,资金转账（打款）记录查询,包含按日期区间和订单编号搜索的表单。下方渲染转账记录 Data Table，显示账户类型、付款周期、转账状态（如“未进行付款”）及查看明细入口。,https://sellercentral.amazon.com/payments/allstatements/index.html?ref_=xx_disbmt_ttab_settle,High
,00:31-00:41,概览,侧边栏 > 数据报告 > 付款 > 广告账单历史记录,跨站点广告费用账单管理与支付,顶部渲染系统级蓝色警告横幅 (Alert Banner)。主体渲染各国家/地区广告账户状态 Data Table，展示总应付金额、已结清金额及“完成付款”操作按钮。,https://advertising.amazon.com/ads/bg/billing/history?ref_=xx_ads_ttab_disbmt&merchantId=A2THBRL9ZCKBI1&locale=zh_CN&ref=RedirectedFromSellerCentralByRoutingService,High
,00:50-00:59,报告库,侧边栏 > 数据报告 > 付款 > 报告库,财务与结算报告自定义生成及下载,包含账户类型、报告类型、日期范围筛选表单与“请求报告” (Request Report) 按钮。下方渲染付款报告队列 Data Table，显示请求日期、处理状态及下载链接。,https://sellercentral.amazon.com/payments/reports-repository?ref_=xx_repo_dnav_xx,High
,01:14-01:32,amazon seller wallet,侧边栏 > 数据报告 > 亚马逊全球收款,卖家钱包服务介绍与注册引导,营销落地页 (Landing Page)，包含英雄区 (Hero Section) 的产品 Slogan 与“立即注册” CTA 按钮，以及下方产品优势特征说明卡片 (Feature Cards)。,https://sellercentral.amazon.com/maric/sellerwallet/seller-wallet-onboard/regional/node/welcome/render,High
,01:33-01:40,卖家货币转换器,侧边栏 > 数据报告 > 亚马逊全球收款,跨国销售款项换汇费率预估与提现指引,包含 ACCS 工作原理流程图 (Stepper/Flow Diagram)、可交互的费率预估输入 Widget、产品优势列表及底部常见问题折叠面板 (FAQ Accordion)。,https://sellercentral.amazon.com/px/accs?ref_=xx_nav_accs_dnav_xx,High
菜单——绩效,0:01,卖家货币转换器 (ACCS),无,跨境收款汇率预估与转换配置,展示 ACCS 介绍说明，包含一个汇率转换计算器表单组件（输入资金总额，动态显式转换费率与预估结算金额）。,https://sellercentral.amazon.com/gp/accs?ref_=xx_accs_dnav_xx,High
,0:05,账户状况,绩效 > 账户状况,监控全局店铺合规状态与关键服务指标,渲染数据仪表盘 (Dashboard)，包含“客户服务绩效”、“政策合规性”、“配送绩效”三个核心指标块 (Widgets)，展示问题数量汇总、彩色进度条与预警图标。,https://sellercentral.amazon.com/performance/dashboard,High
,0:26,Feedback Manager (反馈管理器),绩效 > 反馈管理,买家店铺反馈数据的多维度查看与管理,顶部为时间维度筛选的统计数据表 (30/90/365天评分分布)；下方为 Data Grid，包含日期、评级、订单号、评论详情及操作按钮；底部带分页组件 (Pagination)。,https://sellercentral.amazon.com/feedback-manager/index.html#/,High
,0:48,亚马逊商城交易保障索赔,绩效 > 亚马逊商城交易保障索赔,处理买家针对订单发起的 A-to-z 索赔争议,顶部展示系统级警告横幅 (Warning Banner)；主体包含状态切换标签页 (Tabs) 和搜索过滤栏；下方为索赔记录 Data Table（当前状态为空）。,https://sellercentral.amazon.com/gp/guarantee-claims/home.html?ref=xx_azclaims_dnav_xx#/,High
,1:04,拒客中止付款 (信用卡拒付),绩效 > 信用卡拒付索赔,处理买家端发起的信用卡拒付 (Chargeback),包含基于状态过滤的 Tabs 组件和日期筛选下拉框；下方 Data Table 渲染具体拒付单号、金额、详细信息及当前审核/回复状态。,https://sellercentral.amazon.com/gp/chargebacks/home.html?ref=xx_chrgbck_dnav_xx#/,High
,1:21,业绩通知,绩效 > 业绩通知,查阅官方下发的账户状态审核与违规警告邮件,包含日期范围筛选器 (Date Range Picker) 和搜索框；下方为通知列表 (List View)，展示通知主题（包含多条“您的亚马逊卖家账户已被停用”）与日期，带分页组件。,https://sellercentral.amazon.com/performance/notifications,High
,1:36,买家之声,绩效 > Voice of the Customer,基于 ASIN 粒度监控商品买家不满意率 (NCX),顶部包含五级满意度状态的数据指标卡集 (Metric Cards)；下方为 Offer Listings Data Grid，渲染包含 SKU、买家不满意率百分比、订单数、星级评级的具体列表及操作入口。,https://sellercentral.amazon.com/voice-of-the-customer/ref=xx_voc_dnav_xx,High
菜单——应用程序和服务,00:04 - 00:22,销售伙伴应用商店,应用程序和服务 > 销售伙伴应用商店,第三方电商应用与系统集成插件 (Plugins/Integrations) 的发现与采购。,顶部包含全局搜索框，下方横向排列应用分类（商品信息、自动定价等）。包含轮播 Banner 广告。主体部分为“为您推荐”与“热门应用程序”的 App Card 列表展示（含应用图标、名称、星级评分与简短描述）。,https://sellercentral.amazon.com/selling-partner-appstore?ref=xx_masdis_dnav_xx,High
,00:28 - 00:48,管理您的应用程序,应用程序和服务 > 管理您的应用,卖家授权的第三方应用 (Third-party Apps) 生命周期与 API 鉴权状态管理。,页面主体为 Data Table，展示已授权应用清单。表头包含“应用名称”、“状态”（如：在售、已禁用）、“授权日期/有效期”与“操作”。操作列包含“重新授权”与“禁用授权”的按钮控件。,https://sellercentral.amazon.com/apps/manage?ref=xx_masman_dnav_xx,High
,00:54 - 01:08,探索服务提供商网络,应用程序和服务 > 探索服务,"基于业务需求检索官方认证的代运营与专业服务提供商 (Service Provider Network, SPN)。",顶部包含水平分布的系统流程节点指示器 (Stepper/Wizard)。居中展示轮播运营推广 Banner。下方为表单式条件筛选区（下拉框：您在哪、销售地、所需服务）。底部展示各类服务分类的卡片网格 (Grid Layout)。,https://sellercentral.amazon.com/tsba?ref_=sc_srvs_spn_hp,High
,01:14 - 01:31,管理服务请求,应用程序和服务 > 管理服务请求,追踪与管理向外部服务商发起的服务工单 (Service Requests) 状态与生命周期。,包含顶部的过滤器区块与搜索栏。下方为当前显示空数据的 Data Table，表头字段定义了“提供商名称”、“服务请求状态”、“服务类别”和“请求提交日期”。,https://sellercentral.amazon.com/spn/sellerdashboard?ref=xx_masdis_dnav_xxTOTAL,High
,01:53 - 01:57,注册加入新计划,应用程序和服务 > 开发应用程序 (跨域重定向),开发者控制台 (Developer Console) 入驻流程中的关联企业账户选择与鉴权。,跨域跳转至 Solution Provider Portal 独立页面。左侧主体为单选 Data Table，列出当前登录主体关联的多个卖家/仓库账户（包含区域代码如 BR 等），提供分页组件 (Pagination) 和“详情”按钮。右侧展示解释说明的 UI Card 辅助面板。,https://solutionproviderportal.amazon.com/account/onboarding/enrollmentApplicationId=hCBn11x1,High
菜单——B2B,Video 2,B2B 平台,B2B > B2B 平台,企业购业务数据全盘概览与监控,顶栏销售快照组件、多维度数据雷达图 (亚马逊企业购绩效概览)、热销 B2B 商品列表 Widget、提升 B2B 销量指引卡片。,https://sellercentral.amazon.com/business/b2bcentral/ref_=rx_b2bcen_dnav_xx,High
,Video 2,管理报价,B2B > 管理报价,处理大宗采购询价与自定义折扣请求,报价请求状态指示器、获取卖家请求折扣的操作指引、待处理报价请求 Data Table、文件上传/下载控件。,https://sellercentral.amazon.com/business/manage-quotes/,High
,Video 2,B2B 选择建议,B2B > 商品机会,洞察并拓展适合 B2B 的高转化选品,B2B 选品建议 Data Table，包含 ASIN、商品名称、品牌、B2B 销售机会点转化率指标、分类列，附带“添加商品”快捷按钮。,https://sellercentral.amazon.com/business/opportunities/,High
,Video 2,认证和证书,B2B > 认证和证书,企业多元化资质与证书归档管理,B2B 资质业务价值说明、国家/地区维度过滤下拉框、当前生效的多元化与所有权证书状态指示卡片。,https://sellercentral.amazon.com/profile/certifications#intro,High
,Video 2,企业资料,B2B > 企业资料,维护卖家 B2B 公开商业档案视图,企业标识图片上传控件、DUNS/UEI 等实体验证身份输入框、多样性认证复选框 (少数族裔/女性所有)、企业简介富文本编辑器。,https://sellercentral.amazon.com/profile/editor/,High
,Video 2,Amazon Business,B2B > B2B 增长基本信息,B2B 业务功能聚合导航与卖家培育,模块化侧边导航栏 (开始吧、向上扩展等)、核心增长功能快捷卡片 (建立企业档案、提高定价、扩展 B2B 选择)、成功卖家案例轮播图。,https://sellercentral.amazon.com/gc/amazon-business/b2b-growth-essentials,High
,Video 2,企业商品折扣分析,B2B > 企业折扣分析,监控并优化企业商品阶梯定价策略,报告生成触发按钮、多阶折扣数据 Data Table (含商品信息、配置类型、B2B 推荐定价、数据折扣阶梯 1-5 转化率指标)。,https://sellercentral.amazon.com/business/insights/,High
,Video 2,多箱推荐,B2B > 装箱推荐,匹配适合大宗批发的原厂包装商品,装箱商品建议列表 (SKU/ASIN 映射)、多件商品订购转化提升预估指标、批量下载报告组件。,https://sellercentral.amazon.com/business/largepacks/,High
,Video 2,亚马逊企业 API,B2B > B2B API 概览,B2B 自动化工作流 API 对接与授权指引,"各类企业 API 接口说明模块 (BP, BPO, BHDR, PO)、官方支持的 3PI 集成商/ERP 矩阵图标墙、API 技术文档跳转入口。",https://sellercentral.amazon.com/gc/amazonbusiness-api-overview,High
菜单——品牌,Video 1,管理您的品牌,品牌 > 管理您的品牌,品牌备案与申请状态追踪,"品牌检索搜索框、包含品牌注册信息的 Data Table、分栏 Tabs (品牌信息, 关联的品牌, 正在审核中的品牌申请)、添加品牌按钮。",https://sellercentral.amazon.com/manage-your-brands/ref_=rx_myb_dnav_xx,High
,Video 1,Amazon Brand Registry,品牌 > Brand Protection,品牌保护计划与防伪工具概览,Brand Registry 宣传视频组件、核心保护功能卡片 (A+内容、Stores、自动保护)、注册品牌跳转入口、Transparency 及 Project Zero 计划快捷入口。,https://sellercentral.amazon.com/brand-protection/ref_=rx_bpro_dnav_xx,High
,Video 1,卖家大学 - 品牌所有者的成功,品牌 > 建立您的品牌,品牌建设相关教育资源获取,视频课程目录列表、模块化学习路径结构 (确定可行的选品、产品线机会探索)、播放进度提示。,https://sellercentral.amazon.com/learn/learning-pathway/brand-lp-1?ref_=su_byb_announcement,High
,Video 1,买家评论,品牌 > Customer Reviews,品牌维度买家评价监控与管理,"评价多维筛选器 (星级、定单时间、状态)、评价数据 Data Table (ASIN, 评价内容, 订单ID信息)。",https://sellercentral.amazon.com/brand-customer-reviews/ref_=rx_crvws_dnav_xx,High
,Video 1,欢迎使用 Transparency 透明计划,品牌 > 借助 Transparency 保护您的品牌,透明计划(防伪溯源)申请与业务介绍,透明计划原理解析文案、运作机制视频教程、常见问题折叠面板 (Accordion)、联系信息提交表单。,https://sellercentral.amazon.com/transparency/ref_=rx_tran_dnav_xx,High
菜单——学习,Video 3,卖家大学,学习 > 卖家大学,卖家全链路培训与官方课程资源检素,顶部全局课程搜索框、按业务主题分类的课程入口卡片组 (开店指导、账户健康等)、精选课程 Carousel 轮播组件。,https://sellercentral.amazon.com/learn/ref_=rx_su_dnav_xx,High
,Video 3,欢迎来到卖家论坛,学习 > 论坛,卖家社区交流、异常排查与官方资讯阅览,社区全局搜索与发帖控件、主题分类侧边栏、精选实操案例讨论 Feed 流、最新平台政策/新闻动态聚合列表。,https://sellercentral.amazon.com/seller-forums,High
